typeModification : MODIFICATION/CREATION/SUPPRESSION;id ROP;reference ROP;fibre HS;motif si HS;PTO a creer (oui/non, a preciser en cas de creation de ROP);reference bandeau;reference PTO;statut PTO;type prise;reference prise promoteur;reference logement;id immeuble;reference batiment;reference escalier;reference etage;id PBO;reference PBO;reference cable PBO;couleur tube PBO;couleur fibre PBO;numero fibre tube PBO;numero port PTO;reference PM;reference PMT;localisation PMT;reference cable PM;couleur tube PM;couleur fibre PM;usage operateur;reference module PM;position module PM;client actif
;8716399;[PBO-SRO-BPI-7674981-03][PBO-SRO-BPI-7674981-03 / PBO-SRO-BPI-7674981-02 / SOTTEVILLE LES ROUEN][Jaune][Vert];Non;;;;;;;;;;;;;982613;PBO-SRO-BPI-7674981-03;PBO-SRO-BPI-7674981-03 / PBO-SRO-BPI-7674981-02 / SOTTEVILLE LES ROUEN;Jaune;Vert;3;;SRO-BPI-7674981;;;ARM-1039410 / BPE-1435-76681-FT / SOTTEVILLE LES ROUEN;Vert Pale-2Bagues;Marron;partage;B2-T2-MODULE-E;21;Non
;8716400;[PBO-SRO-BPI-7674981-03][PBO-SRO-BPI-7674981-03 / PBO-SRO-BPI-7674981-02 / SOTTEVILLE LES ROUEN][Jaune][Jaune];Non;;;;;;;;;;;;;982613;PBO-SRO-BPI-7674981-03;PBO-SRO-BPI-7674981-03 / PBO-SRO-BPI-7674981-02 / SOTTEVILLE LES ROUEN;Jaune;Jaune;4;;SRO-BPI-7674981;;;ARM-1039410 / BPE-1435-76681-FT / SOTTEVILLE LES ROUEN;Vert Pale-2Bagues;Noir;partage;B2-T2-MODULE-E;22;Non
;8718701;[PBO-SRO-BPI-7674981-03][PBO-SRO-BPI-7674981-03 / PBO-SRO-BPI-7674981-02 / SOTTEVILLE LES ROUEN][Jaune][Violet];Non;;;;;;;;;;;;;982613;PBO-SRO-BPI-7674981-03;PBO-SRO-BPI-7674981-03 / PBO-SRO-BPI-7674981-02 / SOTTEVILLE LES ROUEN;Jaune;Violet;5;;SRO-BPI-7674981;;;ARM-1039410 / BPE-1435-76681-FT / SOTTEVILLE LES ROUEN;Vert Pale-2Bagues;Turquoise;partage;B2-T2-MODULE-E;23;Non
;8718702;[PBO-SRO-BPI-7674981-03][PBO-SRO-BPI-7674981-03 / PBO-SRO-BPI-7674981-02 / SOTTEVILLE LES ROUEN][Jaune][Blanc];Non;;;;;;;;;;;;;982613;PBO-SRO-BPI-7674981-03;PBO-SRO-BPI-7674981-03 / PBO-SRO-BPI-7674981-02 / SOTTEVILLE LES ROUEN;Jaune;Blanc;6;;SRO-BPI-7674981;;;ARM-1039410 / BPE-1435-76681-FT / SOTTEVILLE LES ROUEN;Vert Pale-2Bagues;Rose;partage;B2-T2-MODULE-E;24;Non
;5792837;[PBO-SRO-BPI-7674981-05][mM2-231-FT /PBO-SRO-BPI-7674981-05 / SOTTEVILLE LES ROUEN][Rouge][Jaune];Non;;;;;;;;;;;;;839697;PBO-SRO-BPI-7674981-05;mM2-231-FT /PBO-SRO-BPI-7674981-05 / SOTTEVILLE LES ROUEN;Rouge;Jaune;4;;SRO-BPI-7674981;;;ARM-1039410 / BPE-1435-76681-FT / SOTTEVILLE LES ROUEN;Turquoise-2Bagues;Noir;partage;B2-T2-MODULE-F;10;Non
;220019;[BE-SRO-BPI-7674981-SC-10512193-01][BI-12-RUE-CLAUDINE-GUERIN-1 / BE-01 / SOTTEVILLE-LES-ROUEN-][Bleu][Vert];Non;;;;ZM-B343-5708;CONSTRUITE;FTTH;;;ID-7668100005J3;BATIMENT-12;ESCALIER-A;ETAGE-02;222348;BE-SRO-BPI-7674981-SC-10512193-01;BI-12-RUE-CLAUDINE-GUERIN-1 / BE-01 / SOTTEVILLE-LES-ROUEN-;Bleu;Vert;9;1;SRO-BPI-7674981;;;ARM-1039410 / BPE-1429-76681-FT / SOTTEVILLE LES ROUEN;Orange-3Bagues;Marron;partage;B2-T8-MODULE-D;9;Oui
;1026780;[BE-SRO-BPI-7674981-SC-10946759-01][BI-15-CLAUDINE-GUERIN-1 / BE-01 / SOTTOVILLE-LES-ROUEN][Rouge][Bleu];Non;;;;ZM-B177-4972;CONSTRUITE;FTTH;;;ID-7668100005KK;BATIMENT-13;ESCALIER-A;ETAGE-01;182831;BE-SRO-BPI-7674981-SC-10946759-01;BI-15-CLAUDINE-GUERIN-1 / BE-01 / SOTTOVILLE-LES-ROUEN;Rouge;Bleu;2;1;SRO-BPI-7674981;;;ARM-1039410 / BPE-1429-76681-FT / SOTTEVILLE LES ROUEN;Vert Fonce-3Bagues;Bleu;partage;B2-T8-MODULE-B;2;Oui
;1026792;[BE-SRO-BPI-7674981-SC-10946759-01][BI-15-CLAUDINE-GUERIN-1 / BE-01 / SOTTOVILLE-LES-ROUEN][Rouge][Rouge];Non;;;;;;;;;;;;;182831;BE-SRO-BPI-7674981-SC-10946759-01;BI-15-CLAUDINE-GUERIN-1 / BE-01 / SOTTOVILLE-LES-ROUEN;Rouge;Rouge;1;;SRO-BPI-7674981;;;ARM-1039410 / BPE-1429-76681-FT / SOTTEVILLE LES ROUEN;Vert Fonce-3Bagues;Rouge;partage;B2-T6-MODULE-B;5;Non
;1028805;[BE-SRO-BPI-7674981-SC-10946759-01][BI-15-CLAUDINE-GUERIN-1 / BE-01 / SOTTOVILLE-LES-ROUEN][Rouge][Violet];Non;;;;ZM-1264-8526;CONSTRUITE;FTTH;;;ID-7668100005KK;BATIMENT-13;ESCALIER-A;ETAGE-RDC;182831;BE-SRO-BPI-7674981-SC-10946759-01;BI-15-CLAUDINE-GUERIN-1 / BE-01 / SOTTOVILLE-LES-ROUEN;Rouge;Violet;5;1;SRO-BPI-7674981;;;ARM-1039410 / BPE-1429-76681-FT / SOTTEVILLE LES ROUEN;Vert Fonce-3Bagues;Violet;partage;B2-T8-MODULE-B;1;Oui
;1030841;[BE-SRO-BPI-7674981-SC-10946759-01][BI-15-CLAUDINE-GUERIN-1 / BE-01 / SOTTOVILLE-LES-ROUEN][Rouge][Blanc];Non;;;;;;;;;;;;;182831;BE-SRO-BPI-7674981-SC-10946759-01;BI-15-CLAUDINE-GUERIN-1 / BE-01 / SOTTOVILLE-LES-ROUEN;Rouge;Blanc;6;;SRO-BPI-7674981;;;ARM-1039410 / BPE-1429-76681-FT / SOTTEVILLE LES ROUEN;Vert Fonce-3Bagues;Blanc;partage;B2-T8-MODULE-B;6;Non
